ttr,hapax,adj_noun_ratio,dep_depth,fk_grade,;,—,!,:,",",.,label
0.7717391304347826,57,0.4444444444444444,5.0,3.08861111111111,4.385964912280701,2.1929824561403506,4.385964912280701,6.578947368421052,17.543859649122805,10.964912280701753,1
0.6956521739130435,50,0.4444444444444444,7.5,9.750631868131872,3.937007874015748,0.0,0.0,0.0,13.779527559055119,7.874015748031496,1
0.6818181818181818,85,0.3,8.666666666666666,16.0119701986755,3.5169988276670576,0.0,0.0,0.0,15.240328253223915,5.861664712778429,1
0.7692307692307693,49,0.2,7.333333333333333,9.866282051282052,2.1929824561403506,0.0,0.0,2.1929824561403506,21.929824561403507,10.964912280701753,1
0.7448979591836735,61,0.35294117647058826,8.0,18.81183673469388,5.88235294117647,0.0,0.0,0.0,17.647058823529413,3.9215686274509802,1
0.8,41,0.3333333333333333,7.666666666666667,6.97666666666667,3.1746031746031744,0.0,0.0,3.1746031746031744,15.873015873015872,9.523809523809526,1
0.6790123456790124,91,0.575,6.833333333333333,13.526781193490056,2.051282051282051,0.0,0.0,0.0,10.256410256410257,7.17948717948718,1
0.6629834254143646,95,0.5294117647058824,8.8,16.590629213483144,1.893939393939394,1.893939393939394,0.0,0.0,15.151515151515152,4.734848484848485,1
0.6774193548387096,83,0.4642857142857143,13.0,17.318157894736846,3.468208092485549,0.0,0.0,1.1560693641618498,18.497109826589597,4.624277456647399,1
0.7432432432432432,47,0.5714285714285714,10.0,30.84555555555556,2.4096385542168677,2.4096385542168677,0.0,0.0,14.457831325301205,2.4096385542168677,1
0.7623762376237624,64,0.5,6.0,15.63237113402062,10.327022375215147,0.0,0.0,0.0,12.048192771084338,5.163511187607574,1
0.6835443037974683,41,0.8571428571428571,6.5,13.87753521126761,7.792207792207792,0.0,0.0,5.194805194805195,23.376623376623378,5.194805194805195,1
0.7777777777777778,55,0.5882352941176471,6.666666666666667,10.964691358024695,11.337868480725623,0.0,0.0,0.0,9.070294784580499,6.802721088435374,1
0.7738095238095238,55,0.375,7.5,16.660060240963862,2.2271714922048997,0.0,0.0,0.0,17.817371937639198,4.4543429844097995,1
0.7701149425287356,57,0.7142857142857143,6.0,20.17571428571428,0.0,2.004008016032064,4.008016032064128,0.0,20.04008016032064,8.016032064128256,1
0.7472527472527473,55,0.625,4.5,7.134863563402888,5.736137667304016,0.0,5.736137667304016,0.0,22.944550669216063,9.560229445506693,1
0.7878787878787878,43,0.5,7.0,18.19818181818182,2.34192037470726,0.0,0.0,2.34192037470726,11.7096018735363,4.68384074941452,1
0.7093023255813954,47,0.375,5.75,7.565588235294118,2.061855670103093,0.0,0.0,2.061855670103093,22.680412371134018,10.309278350515465,1
0.7625,49,0.26666666666666666,4.833333333333333,5.611389432485325,0.0,0.0,0.0,2.331002331002331,25.64102564102564,13.986013986013987,1
0.8095238095238095,42,0.4166666666666667,10.0,11.684262295081968,2.840909090909091,0.0,0.0,0.0,19.886363636363637,8.522727272727272,1
0.7676767676767676,65,0.16666666666666666,6.0,9.438634020618558,3.8610038610038613,0.0,3.8610038610038613,0.0,17.374517374517374,9.652509652509652,1
0.8181818181818182,53,0.3125,6.666666666666667,11.079054054054055,0.0,0.0,0.0,0.0,16.949152542372882,8.474576271186441,1
0.7007299270072993,80,0.36,8.666666666666666,16.49294117647059,2.9154518950437316,0.0,1.4577259475218658,1.4577259475218658,11.661807580174926,2.9154518950437316,1
0.7386363636363636,54,0.3333333333333333,5.75,8.299651162790699,4.282655246252677,0.0,0.0,0.0,14.98929336188437,8.565310492505354,1
0.7471264367816092,52,0.45454545454545453,6.2,5.230232558139537,4.415011037527594,0.0,0.0,0.0,8.830022075055188,13.245033112582782,1
0.7011494252873564,47,0.8333333333333334,5.833333333333333,5.798333333333336,4.184100418410042,0.0,0.0,0.0,16.736401673640167,12.552301255230125,1
0.7910447761194029,46,1.0,4.833333333333333,4.336375,0.0,0.0,5.9171597633136095,0.0,29.585798816568047,11.834319526627219,1
0.7530864197530864,55,0.25,6.5,6.689358974358978,2.4390243902439024,0.0,0.0,0.0,19.51219512195122,9.75609756097561,1
0.7604166666666666,59,0.3125,7.75,5.3965217391304385,2.0242914979757085,8.097165991902834,6.0728744939271255,0.0,12.145748987854251,8.097165991902834,1
0.7722772277227723,69,0.42105263157894735,7.0,9.738469387755103,3.676470588235294,0.0,0.0,0.0,20.22058823529412,7.352941176470588,1
0.735632183908046,51,1.0833333333333333,6.25,6.998247126436784,2.1929824561403506,0.0,0.0,0.0,13.157894736842104,8.771929824561402,1
0.7109375,75,0.38095238095238093,8.666666666666666,15.867777777777778,3.1545741324921135,0.0,0.0,1.5772870662460567,11.041009463722398,4.73186119873817,1
0.6710526315789473,75,0.25,8.5,14.74198275862069,1.2300123001230012,2.4600246002460024,0.0,2.4600246002460024,13.530135301353015,4.920049200492005,1
0.689922480620155,68,0.4827586206896552,9.5,24.526666666666674,2.9197080291970803,2.9197080291970803,0.0,0.0,14.598540145985401,2.9197080291970803,1
0.782051282051282,51,0.3157894736842105,6.0,10.903157894736843,7.125890736342043,0.0,0.0,0.0,9.501187648456057,7.125890736342043,1
0.7538461538461538,39,0.125,4.5,5.400000000000002,9.00900900900901,0.0,0.0,0.0,9.00900900900901,12.012012012012011,1
0.6891891891891891,80,0.6086956521739131,8.333333333333334,19.895510204081635,2.4539877300613497,0.0,0.0,2.4539877300613497,17.177914110429448,2.4539877300613497,1
0.7311827956989247,51,0.3125,3.75,6.43503012048193,9.00900900900901,4.504504504504505,9.00900900900901,0.0,13.513513513513514,9.00900900900901,1
